|#    |name                     |IRI.                                                   |TripleCount    |
|171  |subsequentWork           |http://dbpedia.org/ontology/subsequentWork             |53953          |
|172  |ubicación                |http://es.dbpedia.org/property/ubicación               |53946          |
|173  |superficieAgua           |http://es.dbpedia.org/property/superficieAgua          |53786          |
|174  |nombreCompleto           |http://es.dbpedia.org/property/nombreCompleto          |53756          |
|175  |genus                    |http://dbpedia.org/property/genus                      |53610          |
|176  |previousWork             |http://dbpedia.org/ontology/previousWork               |53599          |
|177  |superficieTierra         |http://es.dbpedia.org/property/superficieTierra        |52253          |
|178  |período                  |http://es.dbpedia.org/property/período                 |52068          |
|179  |escudo                   |http://es.dbpedia.org/property/escudo                  |51836          |
|180  |tipo                     |http://dbpedia.org/property/tipo                       |51571          |
|181  |dirigentesTítulos        |http://es.dbpedia.org/property/dirigentesTítulos       |51469          |
|182  |province                 |http://dbpedia.org/ontology/province                   |51070          |
|183  |background               |http://dbpedia.org/ontology/background                 |49625          |
|184  |height                   |http://dbpedia.org/ontology/height                     |49618          |
|185  |idioma                   |http://es.dbpedia.org/property/idioma                  |49328          |
|186  |url                      |http://dbpedia.org/property/url                        |48570          |
|187  |nationality              |http://dbpedia.org/ontology/nationality                |48263          |
|188  |imageWidth               |http://es.dbpedia.org/property/imageWidth              |48106          |
|189  |position                 |http://dbpedia.org/ontology/position                   |47745          |
|190  |estilo                   |http://dbpedia.org/property/estilo                     |47271          |
|191  |duración                 |http://es.dbpedia.org/property/duración                |46935          |
|192  |posición                 |http://es.dbpedia.org/property/posición                |46837          |
|193  |phylum                   |http://dbpedia.org/property/phylum                     |46287          |
|194  |writer                   |http://dbpedia.org/ontology/writer                     |46064          |
|195  |team                     |http://dbpedia.org/ontology/team                       |45772          |
|196  |debutTeam                |http://dbpedia.org/ontology/debutTeam                  |45752          |
|197  |subdivision              |http://es.dbpedia.org/property/subdivision             |44511          |
|198  |elevaciónMedia           |http://dbpedia.org/property/elevaciónMedia             |44374          |
|199  |código                   |http://es.dbpedia.org/property/código                  |44301          |
|200  |species                  |http://dbpedia.org/property/species                    |44174          |
|201  |apellidos                |http://es.dbpedia.org/property/apellidos               |44103          |
